time;x;y;z;gforce
14:09:01:667;0.023;0.242;0.977;1.007
14:09:01:687;0.020;0.238;0.981;1.010
14:09:01:717;0.023;0.250;0.977;1.009
14:09:01:737;0.023;0.254;0.973;1.006
14:09:01:747;0.020;0.258;0.954;0.988
14:09:01:767;0.012;0.250;0.954;0.986
14:09:01:777;0.012;0.242;0.969;0.999
14:09:01:797;0.012;0.242;0.981;1.011
14:09:01:817;0.016;0.246;0.989;1.019
14:09:01:827;0.012;0.250;0.985;1.016
14:09:01:847;0.008;0.246;0.981;1.012
14:09:01:857;0.004;0.238;0.965;0.995
14:09:01:877;0.000;0.235;0.962;0.990
14:09:01:887;0.004;0.231;0.969;0.996
14:09:01:907;0.004;0.231;0.977;1.004
14:09:01:927;0.004;0.238;0.977;1.006
14:09:01:937;0.008;0.254;0.977;1.010
14:09:01:957;0.012;0.258;0.973;1.007
14:09:01:967;0.004;0.250;0.965;0.997
14:09:01:987;0.000;0.250;0.973;1.005
14:09:01:997;0.004;0.242;0.977;1.007
14:09:02:17;0.000;0.238;0.981;1.010
14:09:02:37;0.004;0.238;0.989;1.017
14:09:02:47;0.004;0.242;0.993;1.022
14:09:02:67;0.000;0.242;0.977;1.007
14:09:02:77;-0.004;0.242;0.962;0.992
14:09:02:97;-0.008;0.246;0.962;0.993
14:09:02:107;0.000;0.246;0.981;1.012
14:09:02:127;0.004;0.242;0.997;1.026
14:09:02:147;0.004;0.242;1.001;1.030
14:09:02:157;0.008;0.242;0.997;1.026
14:09:02:177;0.004;0.250;0.977;1.009
14:09:02:187;0.000;0.246;0.954;0.985
14:09:02:207;0.000;0.242;0.954;0.984
14:09:02:217;0.000;0.238;0.962;0.991
14:09:02:237;0.012;0.250;0.962;0.994
14:09:02:247;0.008;0.242;0.977;1.007
14:09:02:267;0.004;0.246;0.993;1.023
14:09:02:286;0.008;0.254;0.993;1.025
14:09:02:296;0.004;0.258;0.977;1.011
14:09:02:316;-0.008;0.254;0.969;1.002
14:09:02:326;-0.008;0.254;0.977;1.010
14:09:02:346;-0.008;0.250;0.989;1.020
14:09:02:357;-0.016;0.254;1.001;1.033
14:09:02:377;-0.008;0.254;1.005;1.036
14:09:02:397;-0.012;0.254;1.005;1.036
14:09:02:407;-0.008;0.258;0.997;1.030
14:09:02:427;-0.012;0.246;0.969;1.000
14:09:02:437;-0.016;0.242;0.958;0.988
14:09:02:457;-0.016;0.246;0.958;0.989
14:09:02:467;-0.012;0.250;0.965;0.997
14:09:02:487;-0.016;0.235;0.981;1.009
14:09:02:507;0.000;0.242;1.005;1.033
14:09:02:517;-0.004;0.242;0.985;1.014
14:09:02:537;-0.004;0.242;0.969;0.999
14:09:02:547;0.000;0.242;0.962;0.992
14:09:02:567;0.000;0.242;0.958;0.988
14:09:02:577;0.008;0.250;0.969;1.001
14:09:02:597;0.016;0.258;0.993;1.026
14:09:02:617;0.020;0.262;0.993;1.027
14:09:02:627;0.016;0.262;0.977;1.012
14:09:02:647;0.016;0.266;0.958;0.994
14:09:02:657;0.008;0.266;0.946;0.983
14:09:02:677;0.004;0.262;0.954;0.989
14:09:02:687;-0.004;0.262;0.954;0.989
14:09:02:707;-0.004;0.266;0.973;1.009
14:09:02:727;-0.004;0.254;0.989;1.021
14:09:02:737;-0.012;0.246;0.989;1.019
14:09:02:757;-0.016;0.238;0.977;1.006
14:09:02:768;-0.016;0.242;0.965;0.996
14:09:02:787;-0.012;0.254;0.954;0.987
14:09:02:797;0.000;0.266;0.958;0.994
14:09:02:895;0.008;0.262;0.973;1.008
14:09:02:897;0.008;0.258;0.985;1.018
14:09:02:899;0.004;0.254;0.981;1.014
14:09:02:900;-0.004;0.250;0.973;1.005
14:09:02:902;-0.008;0.258;0.973;1.007
14:09:02:903;-0.004;0.262;0.985;1.019
14:09:02:907;-0.008;0.266;0.985;1.020
14:09:02:928;-0.008;0.262;0.989;1.023
14:09:02:938;-0.012;0.258;0.985;1.018
14:09:02:957;-0.012;0.258;0.973;1.007
14:09:02:977;-0.016;0.254;0.965;0.998
14:09:02:987;-0.016;0.254;0.958;0.991
14:09:03:7;-0.008;0.254;0.958;0.991
14:09:03:18;-0.004;0.262;0.973;1.008
14:09:03:37;0.008;0.254;0.985;1.017
14:09:03:47;0.000;0.250;0.981;1.013
14:09:03:78;-0.004;0.250;0.962;0.994
14:09:03:88;-0.008;0.250;0.954;0.986
14:09:03:98;0.000;0.254;0.958;0.991
14:09:03:119;0.000;0.258;0.950;0.984
14:09:03:132;-0.004;0.258;0.950;0.984
14:09:03:150;-0.004;0.250;0.954;0.986
14:09:03:160;0.000;0.258;0.958;0.992
14:09:03:179;-0.004;0.254;0.954;0.987
14:09:03:199;-0.008;0.246;0.958;0.989
14:09:03:209;-0.004;0.258;0.969;1.003
14:09:03:229;0.000;0.258;0.965;0.999
14:09:03:239;-0.012;0.258;0.965;0.999
14:09:03:261;-0.016;0.254;0.965;0.998
14:09:03:270;-0.004;0.258;0.985;1.018
14:09:03:291;0.016;0.266;1.008;1.043
14:09:03:309;0.027;0.270;1.020;1.056
14:09:03:320;0.027;0.270;1.012;1.048
14:09:03:339;0.027;0.274;1.001;1.038
14:09:03:349;0.027;0.274;0.989;1.026
14:09:03:370;0.023;0.266;0.981;1.017
14:09:03:379;0.023;0.270;0.981;1.018
14:09:03:401;0.023;0.266;0.981;1.017
14:09:03:420;0.016;0.266;0.977;1.013
14:09:03:429;0.004;0.258;0.969;1.003
14:09:03:450;-0.004;0.254;0.969;1.002
14:09:03:460;-0.008;0.246;0.973;1.004
14:09:03:479;-0.004;0.242;0.985;1.014
14:09:03:489;0.008;0.242;1.001;1.030
14:09:03:511;0.016;0.246;1.001;1.031
14:09:03:520;0.004;0.250;0.981;1.013
14:09:03:539;-0.004;0.254;0.965;0.998
14:09:03:559;-0.004;0.254;0.969;1.002
14:09:03:589;0.000;0.258;0.965;0.999
14:09:03:599;0.012;0.262;0.977;1.012
14:09:03:620;0.016;0.266;0.973;1.009
14:09:03:643;0.012;0.270;0.965;1.003
14:09:03:647;0.012;0.258;0.969;1.003
14:09:03:667;0.016;0.258;0.965;0.999
14:09:03:680;0.016;0.254;0.954;0.987
14:09:03:700;0.020;0.258;0.946;0.981
14:09:03:708;0.027;0.266;0.934;0.972
14:09:03:728;0.031;0.266;0.938;0.976
14:09:03:738;0.031;0.258;0.946;0.981
14:09:03:759;0.027;0.254;0.942;0.976
14:09:03:778;0.020;0.254;0.938;0.972
14:09:03:788;0.012;0.258;0.930;0.965
14:09:03:810;0.020;0.262;0.946;0.982
14:09:03:819;0.031;0.266;0.962;0.998
14:09:03:840;0.055;0.278;0.969;1.010
14:09:03:849;0.070;0.289;0.973;1.018
14:09:03:872;0.082;0.293;0.973;1.020
14:09:03:891;0.090;0.293;0.989;1.035
14:09:03:899;0.098;0.289;1.012;1.057
14:09:03:920;0.102;0.281;1.028;1.071
14:09:03:929;0.106;0.278;1.024;1.066
14:09:03:949;0.113;0.266;1.016;1.057
14:09:03:959;0.137;0.258;1.008;1.050
14:09:03:979;0.156;0.262;0.977;1.024
14:09:04:1;0.164;0.266;0.930;0.981
14:09:04:9;0.168;0.258;0.907;0.958
